clientCount,latency,roomCount,delay
2,211,2,251.66666666666669
3,33.333333333333336,2,201
3,70.8888888888889,3,178.88888888888889
4,23.5,3,167.88888888888889
4,62,4,177.08333333333331
5,29.775,4,152.75
5,55.120000000000005,5,162
6,27.983333333333338,5,141.2
6,96.1388888888889,6,174.8888888888889
